Filename,Row,Columm,Estimated_Time,1000,2000,3000,6000,9000,12000,15000,20000
pokerhand_OpenML,829201,11,3760.147188,0.294048309,1.49321866,2.424209356,7.83940649,17.0808816,30.15648699,42.30949497,97.5011313
BNG(bridges_version1_COMMA_nominal_COMMA_1000000)_OpenML,1000000,13,5230.887932,160.4567969,1161.718812,1262.661114,674.3178639,636.8983688,899.2614722,637.5862916,975.0875432
BNG(pendigits)_OpenML,0,0,0,0,0,0,0,0,0,0,0
RandomRBF_10_1E-4_OpenML,1000000,11,2391.132895,0.277591944,1.011121988,1.636804342,4.670008421,9.114437819,17.12923956,26.16014194,49.29476738
BNG(hepatitis_COMMA_nominal_COMMA_1000000)_OpenML,1000000,20,2748.600957,0.351695299,1.366244555,2.405749083,6.515849352,11.74271107,20.81852436,29.1386857,57.41490746
BNG(autos_COMMA_5000_COMMA_1)_OpenML,1000000,26,1922.456899,0.148195267,0.990437984,1.37019968,3.519276142,6.104459524,12.6256566,17.98840022,41.79330969
BNG(audiology_COMMA_1000_COMMA_5)_OpenML,1000000,70,7389.223431,0.570594311,4.324246645,9.77593112,20.95334864,44.8335197,66.33430004,83.73480296,149.9094629
BNG(lymph_COMMA_10000_COMMA_10)_OpenML,1000000,19,4357.129787,0.560700417,2.017511606,2.707614899,8.85779357,18.78674579,32.16329169,45.21434522,90.90023804
BNG(audiology_COMMA_5000_COMMA_10)_OpenML,1000000,70,7948.901499,1.777250528,4.225530148,11.69725394,23.99137831,44.67445588,66.88937044,87.28975821,165.762615
BNG(mv)_OpenML,0,0,0,254.71,1499.7,5142.12,0,0,0,0,0
BNG(kr-vs-kp_COMMA_10000_COMMA_10)_OpenML,1000000,37,2881.059856,0.42825532,1.625080347,3.975075006,8.015152454,13.71885538,21.12825227,33.32993722,59.83568525
BNG(kr-vs-kp_COMMA_10000_COMMA_5)_OpenML,1000000,37,2929.6489306007115,0.26801466941833496,1.1347360610961914,2.022886037826538,5.9718382358551025,12.006495237350464,21.62422513961792,31.678350687026978,60.330119371414185
BNG(letter_COMMA_5000_COMMA_10)_OpenML,1000000,17,?,85.59620881080627,0,0,0,0,0,0,0
